"id","timestamp","reference","contract_type","entry_tick","exit_tick","buy_price","sell_price","profit"
995,"2019-03-07 02:48:42 GMT+0300","84225328228","CALL","8146.011","8147.419","0.70",1.36,"0.66"
996,"2019-03-07 02:53:46 GMT+0300","84225776568","CALL","8147.892","8150.678",0.35,0.66,"0.31"
997,"2019-03-07 02:58:49 GMT+0300","84226231728","CALL","8150.701","8149.732",0.35,"0.00","-0.35"
998,"2019-03-08 03:03:54 GMT+0300","84226675488","CALL","8149.568","8148.290","0.70","0.00","-0.70"
999,"2019-03-08 03:09:00 GMT+0300","84227115268","PUT","8147.948","8142.822","1.40",2.72,"1.32"
1000,"2019-03-08 03:14:04 GMT+0300","84227544108","PUT","8142.771","8140.286",0.35,0.66,"0.31"
1001,"2019-03-08 03:19:07 GMT+0300","84227985308","PUT","8140.729","8141.021",0.35,"0.00","-0.35"
1002,"2019-03-08 03:24:18 GMT+0300","84228440588","PUT","8140.734","8142.371","0.70","0.00","-0.70"
1003,"2019-03-08 03:29:22 GMT+0300","84228896268","PUT","8142.486","8142.522","1.40","0.00","-1.40"
1004,"2019-03-08 03:34:26 GMT+0300","84229359028","CALL","8142.365","8141.712","2.80","0.00","-2.80"
1005,"2019-03-08 03:39:32 GMT+0300","84229835088","PUT","8141.873","8147.320","5.60","0.00","-5.60"
1006,"2019-03-08 03:44:36 GMT+0300","84230312728","PUT","8146.774","8149.620","11.20","0.00","-11.20"
1007,"2019-03-08 03:49:40 GMT+0300","84230810988","CALL","8149.710","8150.600","22.40","43.50","21.10"
1008,"2019-03-08 03:54:44 GMT+0300","84231297708","CALL","8150.728","8150.676",0.35,"0.00","-0.35"
1009,"2019-03-08 03:59:50 GMT+0300","84231796288","CALL","8151.198","8150.779","0.70","0.00","-0.70"
1010,"2019-03-08 04:04:54 GMT+0300","84232291308","CALL","8150.275","8150.179","1.40","0.00","-1.40"
1011,"2019-03-08 04:09:58 GMT+0300","84232800608","PUT","8150.007","8151.642","2.80","0.00","-2.80"
1012,"2019-03-08 04:15:02 GMT+0300","84233280268","CALL","8151.222","8152.394","5.60",10.88,"5.28"
1013,"2019-03-08 04:20:06 GMT+0300","84233765228","CALL","8151.737","8151.431",0.35,"0.00","-0.35"
1014,"2019-03-08 04:25:10 GMT+0300","84234242548","PUT","8150.585","8151.592","0.70","0.00","-0.70"
1015,"2019-03-08 04:30:16 GMT+0300","84234737508","CALL","8151.272","8149.967","1.40","0.00","-1.40"
1016,"2019-03-08 04:35:20 GMT+0300","84235216548","CALL","8150.120","8152.370","2.80",5.44,"2.64"
1017,"2019-03-08 04:40:26 GMT+0300","84235720508","PUT","8152.083","8153.723",0.35,"0.00","-0.35"
1018,"2019-03-08 04:45:30 GMT+0300","84236229628","PUT","8154.304","8154.475","0.70","0.00","-0.70"
1019,"2019-03-08 08:56:57 GMT+0300","84259076528","CALL","8156.424","8157.572","1.40",2.72,"1.32"
1020,"2019-03-08 09:02:02 GMT+0300","84259426928","CALL","8158.014","8157.111",0.35,"0.00","-0.35"
1021,"2019-03-08 09:07:12 GMT+0300","84259832508","CALL","8156.518","8158.606","0.70",1.36,"0.66"
1022,"2019-03-08 09:12:20 GMT+0300","84260240008","PUT","8158.588","8157.494",0.35,0.66,"0.31"
1023,"2019-03-08 09:17:26 GMT+0300","84260630228","PUT","8157.790","8156.627",0.35,0.66,"0.31"
1024,"2019-03-08 09:22:34 GMT+0300","84261029628","PUT","8157.378","8160.104",0.35,"0.00","-0.35"
1025,"2019-03-08 09:27:42 GMT+0300","84261437868","CALL","8159.427","8161.183","0.70",1.36,"0.66"
1026,"2019-03-08 09:32:50 GMT+0300","84261883508","CALL","8161.619","8164.758",0.35,0.66,"0.31"
1027,"2019-03-08 09:37:56 GMT+0300","84262307308","CALL","8164.576","8170.345",0.35,0.66,"0.31"
1028,"2019-03-08 09:43:04 GMT+0300","84262733108","CALL","8169.954","8169.350",0.35,"0.00","-0.35"
1029,"2019-03-08 09:48:14 GMT+0300","84263164788","PUT","8168.688","8169.748","0.70","0.00","-0.70"
1030,"2019-03-08 09:53:22 GMT+0300","84263598228","CALL","8169.766","8170.408","1.40",2.72,"1.32"
1031,"2019-03-08 09:58:30 GMT+0300","84264025188","CALL","8170.129","8167.203",0.35,"0.00","-0.35"
1032,"2019-03-08 10:03:38 GMT+0300","84264456408","PUT","8166.993","8169.256","0.70","0.00","-0.70"
1033,"2019-03-08 10:08:46 GMT+0300","84264883888","CALL","8169.767","8172.739","1.40",2.72,"1.32"
1034,"2019-03-08 10:13:54 GMT+0300","84265314368","CALL","8173.267","8178.163",0.35,0.66,"0.31"
1035,"2019-03-08 10:19:00 GMT+0300","84265765968","CALL","8178.379","8178.253",0.35,"0.00","-0.35"
1036,"2019-03-08 10:24:08 GMT+0300","84266219568","CALL","8177.898","8176.628","0.70","0.00","-0.70"
1037,"2019-03-08 10:29:16 GMT+0300","84266671128","PUT","8176.328","8174.075","1.40",2.72,"1.32"
1038,"2019-03-08 10:34:24 GMT+0300","84267129768","PUT","8174.419","8177.023",0.35,"0.00","-0.35"
1039,"2019-03-08 10:39:32 GMT+0300","84267561048","PUT","8176.241","8173.628","0.70",1.36,"0.66"
1040,"2019-03-08 10:44:40 GMT+0300","84268003088","CALL","8173.958","8175.977",0.35,0.66,"0.31"
1041,"2019-03-08 10:49:46 GMT+0300","84268456108","PUT","8176.245","8174.777",0.35,0.66,"0.31"
1042,"2019-03-08 10:54:52 GMT+0300","84268909648","CALL","8174.384","8172.737",0.35,"0.00","-0.35"
1043,"2019-03-08 11:00:02 GMT+0300","84269366108","PUT","8172.645","8172.891","0.70","0.00","-0.70"
1044,"2019-03-08 11:05:10 GMT+0300","84269821368","CALL","8172.916","8172.725","1.40","0.00","-1.40"
1045,"2019-03-08 11:10:18 GMT+0300","84270255488","PUT","8172.181","8173.181","2.80","0.00","-2.80"
1046,"2019-03-08 11:15:26 GMT+0300","84270693908","CALL","8172.586","8172.253","5.60","0.00","-5.60"
1047,"2019-03-08 11:20:34 GMT+0300","84271142008","CALL","8172.488","8172.538","11.20",21.75,"10.55"
1048,"2019-03-08 11:25:42 GMT+0300","84271581608","PUT","8173.024","8170.163",0.35,0.66,"0.31"
1049,"2019-03-08 11:30:48 GMT+0300","84272025368","PUT","8170.186","8174.093",0.35,"0.00","-0.35"
1050,"2019-03-08 11:35:56 GMT+0300","84272462748","CALL","8174.036","8174.668","0.70",1.36,"0.66"
1051,"2019-03-08 11:41:04 GMT+0300","84272920228","CALL","8174.831","8174.272",0.35,"0.00","-0.35"
1052,"2019-03-08 11:46:12 GMT+0300","84273389488","PUT","8174.051","8178.157","0.70","0.00","-0.70"
1053,"2019-03-08 11:51:20 GMT+0300","84273840688","CALL","8178.665","8177.495","1.40","0.00","-1.40"
1054,"2019-03-08 11:56:28 GMT+0300","84274292488","CALL","8177.897","8182.535","2.80",5.44,"2.64"
1055,"2019-03-08 12:01:36 GMT+0300","84274780508","CALL","8182.311","8181.437",0.35,"0.00","-0.35"
1056,"2019-03-08 12:06:44 GMT+0300","84275246808","PUT","8181.570","8181.413","0.70",1.36,"0.66"
1057,"2019-03-08 12:11:52 GMT+0300","84275711468","CALL","8180.732","8178.930",0.35,"0.00","-0.35"
1058,"2019-03-08 12:17:00 GMT+0300","84276168708","CALL","8179.318","8179.878","0.70",1.36,"0.66"
1059,"2019-03-08 12:22:08 GMT+0300","84276637548","PUT","8179.504","8178.262",0.35,0.66,"0.31"
1060,"2019-03-08 12:27:14 GMT+0300","84277099748","CALL","8178.230","8179.257",0.35,0.66,"0.31"
1061,"2019-03-08 12:32:20 GMT+0300","84277564668","PUT","8178.925","8178.077",0.35,0.66,"0.31"
1062,"2019-03-08 12:37:26 GMT+0300","84278037168","CALL","8178.449","8178.300",0.35,"0.00","-0.35"
1063,"2019-03-08 12:42:34 GMT+0300","84278518988","CALL","8178.160","8178.602","0.70",1.36,"0.66"
1064,"2019-03-08 12:47:42 GMT+0300","84279029908","PUT","8178.683","8179.470",0.35,"0.00","-0.35"
1065,"2019-03-08 12:52:50 GMT+0300","84279516488","PUT","8178.880","8175.964","0.70",1.36,"0.66"
1066,"2019-03-08 12:57:58 GMT+0300","84280004708","CALL","8176.189","8176.682",0.35,0.66,"0.31"
1067,"2019-03-08 13:03:04 GMT+0300","84280498288","PUT","8176.702","8177.869",0.35,"0.00","-0.35"
1068,"2019-03-08 13:08:12 GMT+0300","84280978968","CALL","8177.682","8178.147","0.70",1.36,"0.66"
1069,"2019-03-08 13:13:20 GMT+0300","84281474808","CALL","8178.010","8175.303",0.35,"0.00","-0.35"
1070,"2019-03-08 13:18:28 GMT+0300","84281981848","PUT","8175.090","8175.642","0.70","0.00","-0.70"
1071,"2019-03-08 13:23:36 GMT+0300","84282503908","CALL","8176.250","8176.487","1.40",2.72,"1.32"
1072,"2019-03-08 13:28:44 GMT+0300","84283001068","CALL","8175.615","8173.406",0.35,"0.00","-0.35"
1073,"2019-03-08 13:33:54 GMT+0300","84283513868","CALL","8172.433","8171.431","0.70","0.00","-0.70"
1074,"2019-03-08 13:39:04 GMT+0300","84284022288","CALL","8171.074","8174.788","1.40",2.72,"1.32"
1075,"2019-03-08 13:44:12 GMT+0300","84284537868","CALL","8174.593","8171.029",0.35,"0.00","-0.35"
1076,"2019-03-08 13:49:20 GMT+0300","84285067768","CALL","8171.033","8169.934","0.70","0.00","-0.70"
1077,"2019-03-08 13:54:30 GMT+0300","84285573968","PUT","8169.886","8169.909","1.40","0.00","-1.40"
1078,"2019-03-08 13:59:38 GMT+0300","84286085708","PUT","8170.256","8171.012","2.80","0.00","-2.80"
1079,"2019-03-08 14:04:46 GMT+0300","84286603748","CALL","8171.330","8171.458","5.60",10.88,"5.28"
1080,"2019-03-08 14:09:54 GMT+0300","84287093988","PUT","8171.910","8172.640",0.35,"0.00","-0.35"
1081,"2019-03-08 14:15:02 GMT+0300","84287585828","CALL","8171.673","8169.827","0.70","0.00","-0.70"
1082,"2019-03-08 14:20:12 GMT+0300","84288065108","PUT","8170.204","8180.668","1.40","0.00","-1.40"
1083,"2019-03-08 14:25:20 GMT+0300","84288506068","CALL","8179.616","8179.937","2.80",5.44,"2.64"
1084,"2019-03-08 14:30:32 GMT+0300","84289000328","CALL","8180.327","8178.436",0.35,"0.00","-0.35"
1085,"2019-03-08 14:35:40 GMT+0300","84289478048","CALL","8178.708","8178.154","0.70","0.00","-0.70"
